ID,rel_date,actions,rewards,exp_group,exp_phase
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,1,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,1,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,1,1,experimental,basal
217,4,1,1,experimental,basal
217,4,1,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,2,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,2,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,2,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,2,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,4,2,1,experimental,basal
217,4,2,1,experimental,basal
217,4,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,2,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,2,1,experimental,basal
217,7,2,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,1,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
